Feature,(i) No FE,(ii) Time FE,(iii) Cluster FE,(iv) TWFE
A2ME,0.0104***,0.0107***,-0.0024,-0.0020
AC,0.0009,0.0025,-0.0037,-0.0017
AT,0.0135***,0.0133***,0.0048*,0.0043**
ATO,-0.0414***,-0.0415***,-0.0020,-0.0020
B2M,0.0145***,0.0145***,-0.0015,-0.0017
BETA_d,-0.0061**,-0.0064***,0.0006,0.0001
BETA_m,-0.0095***,-0.0091***,-0.0014,-0.0007
C2A,-0.0014,-0.0018,-0.0021,-0.0027
CF2B,0.0128***,0.0133***,-0.0050*,-0.0041**
CF2P,0.0033,0.0038**,-0.0025,-0.0014
CTO,-0.0274***,-0.0272***,-0.0015,-0.0008
D2A,-0.0197***,-0.0199***,-0.0001,-0.0001
D2P,0.0354***,0.0357***,-0.0016,-0.0011
DPI2A,-0.0332***,-0.0336***,0.0033,0.0029
E2P,-0.0024,-0.0018,-0.0047*,-0.0034**
FC2Y,-0.0248***,-0.0251***,-0.0038,-0.0042***
HIGH52,0.0092***,0.0086***,0.0061**,0.0051***
IdioVol,-0.0087***,-0.0094***,-0.0023,-0.0038**
INV,-0.0218***,-0.0210***,0.0008,0.0020
LEV,0.0073***,0.0078***,-0.0023,-0.0015
ME,0.0063***,0.0076***,0.0031,0.0057***
NI,-0.0031,-0.0028,-0.0079**,-0.0074***
NOA,-0.0166***,-0.0164***,0.0024,0.0027
OA,0.0021,0.0030,0.0046,0.0056*
OL,-0.0162***,-0.0163***,-0.0030,-0.0031*
OP,0.0085***,0.0092***,-0.0006,0.0006
PCM,-0.0354***,-0.0347***,-0.0009,0.0003
PM,-0.0079***,-0.0071***,0.0012,0.0032**
PROF,-0.0375***,-0.0371***,-0.0002,0.0007
Q,-0.0112***,-0.0115***,0.0030,0.0025
R12_2,-0.0075***,-0.0062***,0.0010,0.0026*
R12_7,-0.0088***,-0.0079***,0.0005,0.0016
R2_1,-0.0020,-0.0109***,0.0163***,0.0066***
R36_13,-0.0161***,-0.0158***,-0.0004,0.0001
R60_13,-0.0083***,-0.0082***,0.0035,0.0037**
RNA,0.0098***,0.0104***,-0.0004,0.0005
ROA,-0.0150***,-0.0147***,0.0008,0.0015
ROE,-0.0059**,-0.0055***,-0.0008,-0.0001
RVAR,-0.0087***,-0.0094***,-0.0025,-0.0039**
S2P,-0.0094***,-0.0090***,-0.0025,-0.0017
SGA2S,-0.0217***,-0.0220***,-0.0036,-0.0042***
SPREAD,-0.0174***,-0.0185***,-0.0026,-0.0045**
SUV,-0.0091,-0.0232***,0.0122**,-0.0020
TURN,-0.0213***,-0.0222***,0.0023,0.0010
VAR,-0.0092***,-0.0100***,-0.0017,-0.0034**
