Feature,Full,1970s,1980s,1990s,2000s,2010s
A2ME,-0.489***,-0.655***,-0.502***,-0.470***,-0.470***,-0.471***
AC,-0.003,-0.053***,-0.013***,-0.007***,-0.002,0.023***
AT,-0.325***,-0.364***,-0.362***,-0.340***,-0.272***,-0.317***
ATO,-0.302***,-0.568***,-0.333***,-0.262***,-0.260***,-0.281***
B2M,-0.220***,-0.374***,-0.258***,-0.191***,-0.173***,-0.209***
BETA_d,-0.201***,-0.294***,-0.262***,-0.174***,-0.204***,-0.146***
BETA_m,-0.129***,-0.162***,-0.164***,-0.098***,-0.180***,-0.062***
C2A,-0.131***,-0.291***,-0.114***,-0.079***,-0.150***,-0.128***
CF2B,-0.071***,-0.223***,-0.037**,-0.052***,-0.066***,-0.079***
CF2P,-0.341***,-0.407***,-0.335***,-0.325***,-0.353***,-0.323***
CTO,-0.475***,-0.632***,-0.459***,-0.445***,-0.472***,-0.480***
D2A,-0.068***,-0.244***,-0.039*,-0.019**,-0.074***,-0.084***
D2P,-0.095***,-0.328***,-0.171***,-0.063***,-0.044***,-0.035***
DPI2A,-0.069***,-0.227***,-0.081***,-0.025***,-0.078***,-0.049***
E2P,-0.373***,-0.364***,-0.399***,-0.362***,-0.383***,-0.344***
FC2Y,-0.277***,-0.407***,-0.239***,-0.254***,-0.287***,-0.288***
HIGH52,-0.187***,-0.120***,-0.155***,-0.195***,-0.208***,-0.205***
INV,-0.059***,-0.066***,-0.096***,-0.082***,-0.051***,-0.009***
IdioVol,-0.453***,-0.475***,-0.423***,-0.465***,-0.453***,-0.464***
LEV,-0.101***,-0.345***,-0.156***,-0.074***,-0.075***,-0.032***
ME,-0.351***,-0.604***,-0.412***,-0.329***,-0.273***,-0.321***
NI,-0.002,-0.191***,-0.028,0.035***,0.027***,0.018***
NOA,-0.096***,-0.357***,-0.117***,-0.055***,-0.059***,-0.080***
OA,0.010,-0.185***,-0.015,0.034***,0.029***,0.050***
OL,-0.426***,-0.629***,-0.414***,-0.396***,-0.432***,-0.409***
OP,-0.220***,-0.297***,-0.204***,-0.194***,-0.238***,-0.223***
PCM,-0.212***,-0.427***,-0.187***,-0.177***,-0.189***,-0.233***
PM,-0.516***,-0.539***,-0.482***,-0.524***,-0.539***,-0.513***
PROF,-0.187***,-0.244***,-0.187***,-0.189***,-0.163***,-0.190***
Q,-0.480***,-0.675***,-0.511***,-0.482***,-0.472***,-0.409***
R12_2,-0.179***,-0.158***,-0.186***,-0.177***,-0.193***,-0.164***
R12_7,-0.137***,-0.138***,-0.147***,-0.136***,-0.142***,-0.118***
R2_1,-0.016***,-0.061***,-0.020***,-0.009***,-0.013**,-0.007***
R36_13,-0.116***,-0.097***,-0.144***,-0.131***,-0.101***,-0.091***
R60_13,-0.174***,-0.192***,-0.175***,-0.202***,-0.146***,-0.164***
RNA,-0.313***,-0.562***,-0.416***,-0.325***,-0.239***,-0.215***
ROA,-0.523***,-0.647***,-0.531***,-0.491***,-0.518***,-0.515***
ROE,-0.323***,-0.429***,-0.375***,-0.311***,-0.302***,-0.281***
RVAR,-0.408***,-0.426***,-0.370***,-0.426***,-0.410***,-0.421***
S2P,-0.462***,-0.608***,-0.468***,-0.442***,-0.452***,-0.439***
SGA2S,-0.296***,-0.419***,-0.271***,-0.268***,-0.293***,-0.311***
SPREAD,-0.358***,-0.390***,-0.309***,-0.354***,-0.359***,-0.390***
SUV,0.074***,-0.110***,0.029,0.106***,0.104***,0.109***
TURN,-0.094***,-0.260***,-0.123***,-0.067***,-0.092***,-0.045***
VAR,-0.451***,-0.480***,-0.424***,-0.464***,-0.446***,-0.462***
